
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2026-03-16 17:49:40 /api/documents/check-code ................................................................ ~ 1s
  2026-03-16 17:49:43 /api/documents/check-code .......................................................... ~ 506.78ms
  2026-03-16 17:49:43 /api/upload .............................................................................. ~ 1s
  2026-03-16 17:49:45 /api/documents/check-code ................................................................ ~ 1s
  2026-03-16 17:49:45 /api/documents/qr/yK5Nitgtwsq75CfvgMXvQd4EcyyXnt0Z ................................. ~ 600.93ms
  2026-03-16 17:49:45 /api/auth/me ............................................................................. ~ 1s
  2026-03-16 17:49:46 /api/documents/qr/yK5Nitgtwsq75CfvgMXvQd4EcyyXnt0Z ....................................... ~ 1s
  2026-03-16 17:49:47 /api/documents/qr/yK5Nitgtwsq75CfvgMXvQd4EcyyXnt0Z ....................................... ~ 1s
  2026-03-16 17:49:47 /api/auth/me ............................................................................. ~ 1s
  2026-03-16 17:49:48 /api/documents/qr/yK5Nitgtwsq75CfvgMXvQd4EcyyXnt0Z ....................................... ~ 1s
  2026-03-16 17:49:49 /api/files/pdf-original/yK5Nitgtwsq75CfvgMXvQd4EcyyXnt0Z ........................... ~ 517.55ms
  2026-03-16 17:49:49 /api/files/pdf-original/yK5Nitgtwsq75CfvgMXvQd4EcyyXnt0Z ........................... ~ 509.80ms
  2026-03-16 17:49:50 /api/files/qr/yK5Nitgtwsq75CfvgMXvQd4EcyyXnt0Z ..................................... ~ 507.66ms
  2026-03-16 17:50:18 /api/embed ............................................................................... ~ 1s
  2026-03-16 17:50:19 /api/documents/qr/yK5Nitgtwsq75CfvgMXvQd4EcyyXnt0Z ................................. ~ 504.03ms
  2026-03-16 17:50:22 /api/documents/qr/yK5Nitgtwsq75CfvgMXvQd4EcyyXnt0Z ................................. ~ 502.15ms
  2026-03-16 17:50:22 /api/files/pdf/yK5Nitgtwsq75CfvgMXvQd4EcyyXnt0Z .................................... ~ 518.50ms
  2026-03-16 17:50:30 /api/system/compression-status ..................................................... ~ 546.54ms
  2026-03-16 17:50:31 /api/system/compression-status ..................................................... ~ 510.28ms
  2026-03-16 17:50:31 /api/system/compression-status ........................................................... ~ 1s
  2026-03-16 17:50:32 /api/system/compression-status ..................................................... ~ 517.74ms
  2026-03-16 17:52:04 /api/auth/me ....................................................................... ~ 515.10ms
  2026-03-16 17:52:04 /api/documents ..................................................................... ~ 503.60ms
  2026-03-16 17:52:04 /api/documents/stats ..................................................................... ~ 1s
  2026-03-16 17:52:05 /api/system/compression-status ........................................................... ~ 1s
  2026-03-16 17:52:06 /api/auth/me ............................................................................. ~ 1s
  2026-03-16 17:52:09 /api/documents/qr/yK5Nitgtwsq75CfvgMXvQd4EcyyXnt0Z ................................. ~ 518.14ms
  2026-03-16 17:52:10 /api/files/pdf/yK5Nitgtwsq75CfvgMXvQd4EcyyXnt0Z .................................... ~ 500.55ms
  2026-03-16 17:52:48 /api/system/compression-status ..................................................... ~ 509.52ms
  2026-03-16 17:52:48 /api/auth/me ............................................................................. ~ 1s
  2026-03-16 17:52:50 /api/auth/me ....................................................................... ~ 509.48ms
  2026-03-16 17:52:51 /api/documents ..................................................................... ~ 507.68ms
  2026-03-16 17:52:51 /api/documents/stats ..................................................................... ~ 1s
  2026-03-16 17:52:51 /api/auth/me ............................................................................. ~ 1s
  2026-03-16 17:52:52 /api/system/compression-status ........................................................... ~ 1s
  2026-03-16 17:52:52 /api/auth/me ............................................................................. ~ 1s
  2026-03-16 17:52:57 /api/documents/qr/yK5Nitgtwsq75CfvgMXvQd4EcyyXnt0Z ................................. ~ 509.93ms
  2026-03-16 17:52:57 /api/files/pdf/yK5Nitgtwsq75CfvgMXvQd4EcyyXnt0Z .................................... ~ 501.00ms
  2026-03-16 17:53:27 /api/view/yK5Nitgtwsq75CfvgMXvQd4EcyyXnt0Z ............................................... ~ 1s
